,Rn_V_pyTSEB,Rn_S_pyTSEB,LE_V_pyTSEB,LE_S_pyTSEB,H_V_pyTSEB,H_S_pyTSEB,G_pyTSEB,Trad_V_pyTSEB,Trad_S_pyTSEB
0,inf,-inf,,0.0,inf,,,,1e-06
1,43.77582361744834,262.68238076883506,0.0,0.0,43.775826,170.74355,91.93883,286.6958,288.33826
2,-188.2889692867377,730.0144104951848,0.0,0.0,-188.28897,474.50937,255.50504,295.99506,492.7721
3,407.3391420435455,-49.88624584406052,0.0,0.0,407.33914,-32.42606,-17.460186,313.7366,319.2116
4,247.32411278739528,-1.1450569453173358,0.0,0.0,247.32411,-0.7442875,-0.4007702,299.03003,308.3695
5,294.4619992272483,-28.847150853077906,0.0,0.0,294.46198,-18.750648,-10.096503,303.60873,312.60086
6,inf,-inf,,0.0,inf,,,,1e-06
7,781414.9816094933,-1096821.7114270781,,0.0,114724.19,,,596.30304,1e-06
8,193.7877619364715,91.80727914789452,0.0,0.0,193.78777,59.674732,32.13255,294.53036,297.7813
9,440.0743635573717,-376.9581977944961,0.0,0.0,440.07434,-245.02283,-131.93536,315.75732,360.27182
10,3.9655811463265564,-100.65518493261284,0.0,0.0,3.96558,-65.42587,-35.22931,289.7601,305.62558
11,880.8676018058823,-677.3265190472673,0.0,0.0,880.8676,-440.26227,-237.06427,313.54495,388.02945
12,inf,-inf,,0.0,inf,,,,1e-06
13,442.25694441562223,3.787598878758903,166.49329,18.02156,275.76367,-15.559621,1.3256595,298.54105,297.10788
14,246007243.13893774,-251902066.55662054,,0.0,41322364.0,,,30000.133,1e-06
15,634.7482568257906,-15.834008989630917,0.0,0.0,634.7482,-10.29211,-5.5419044,311.8007,344.03522
16,406.9028519770799,-312.37836055092856,0.0,0.0,406.90283,-203.04593,-109.33242,313.04318,351.98117
17,inf,-inf,,0.0,inf,,,,1e-06
18,218.31041047890733,112.99200752027764,51.18045,49.174755,167.12996,24.270054,39.5472,312.82504,313.92105
19,247221.13022915678,-250417.46999937596,,0.0,231771.61,,,994.816,1e-06
20,166.31944015445504,330.3232026942175,95.37674,8.44957,70.9427,206.2605,115.61311,303.50366,308.9966
21,2271.2095881284536,-1859.9765497869635,0.0,0.0,2271.2095,-1208.9849,-650.9917,315.60956,455.20337
22,inf,-inf,,0.0,inf,,,,1e-06
23,inf,-inf,,0.0,inf,,,,1e-06
24,143.56680566826512,98.85660739992048,0.0,0.0,143.5668,64.2568,34.599815,308.4038,312.63882
25,503.81686287527066,-482.37435628942234,0.0,0.0,503.81686,-313.54333,-168.83102,294.8859,356.95566
26,1458.5626838242035,-1154.3807774681245,0.0,0.0,1458.5627,-750.3475,-404.03326,320.7562,423.0437
27,113.96506655057141,279.13195910796475,80.24684,80.88548,33.718227,100.55029,97.69618,286.46967,287.36163
28,100.36284301371464,45.89020624034032,0.0,0.0,100.36284,29.828638,16.061575,304.30017,314.90237
29,230.98996452000455,24.46432017946762,0.0,0.0,230.98996,15.901809,8.562512,291.90393,297.70374
30,456.5545187586767,-59.31688740937679,0.0,0.0,456.55453,-38.555977,-20.76091,296.95578,313.7781
31,inf,-inf,,0.0,inf,,,,1e-06
32,inf,-inf,,0.0,inf,,,,1e-06
33,inf,-inf,,0.0,inf,,,,1e-06
34,255.62119226324893,324.0075577381371,0.0,0.0,255.6212,210.60492,113.40265,297.57272,318.79697
35,153.24054088977314,235.21399219507293,84.09646,154.17339,69.14408,-1.284288,82.3249,343.5354,299.42255
36,228.09213731601722,5.4998804229880704,0.0,0.0,228.09213,3.5749207,1.9249573,304.60495,311.68024
37,297.2686825107919,15.528058742469156,0.0,0.0,297.26868,10.093237,5.43482,306.23254,313.96786
38,inf,-inf,,0.0,inf,,,,1e-06
39,177.47354559712562,153.44880027536271,168.95555,41.168724,8.518007,58.573006,53.70708,304.16348,307.7259
40,530.9022847962226,87.7888164033827,0.0,0.0,530.9023,57.062733,30.726086,289.7586,309.3258
41,-41.4135854011081,-51.46836869754671,0.0,0.0,-41.413586,-33.454437,-18.01393,304.1451,310.1172
42,141.28731606056581,-107.32237349232645,0.0,0.0,141.28732,-69.759544,-37.562828,285.01984,304.99838
43,278.18859750790443,209.72466672999838,59.875046,142.02303,218.31355,-5.7019835,73.40363,309.74887,307.32513
44,53.42927436432517,-94.49959561706088,0.0,0.0,53.429276,-61.424736,-33.07486,287.06412,302.6564
45,165.02783657179793,38.409291443232746,0.0,0.0,165.02783,24.966042,13.443253,292.17816,293.0959
46,122.43194436888075,-25.353493611368847,0.0,0.0,122.431946,-16.47977,-8.873722,304.10095,316.40768
47,512.8757467940578,-82.9019474405761,0.0,0.0,512.87573,-53.88627,-29.015678,304.13492,322.66214
48,104.11679757690982,592.66532093319,14.294853,236.15123,89.82194,149.08119,207.43285,309.91873,316.49466
49,92.19184734097598,-76.71883945640666,0.0,0.0,92.19185,-49.86725,-26.851593,306.33273,316.13727
50,139.78651869636542,77.40583902440014,0.0,0.0,139.78653,50.3138,27.092045,295.28812,306.75266
51,47.7448360218938,511.4918557689854,1.6409798,265.11066,46.103855,67.35906,179.02214,293.37363,296.30588
52,-51.31719250517689,369.205657208859,-26.275896,225.6899,-25.041296,14.293781,129.22198,294.96658,297.29025
53,273.39139140922845,-275.1618025982922,0.0,0.0,273.3914,-178.85516,-96.30663,313.0128,348.64728
54,358.39947817796013,331.83847511181875,271.0985,256.54657,87.300964,-40.851566,116.14346,297.32654,295.9121
55,460.3307662405218,250.93673153113593,441.39957,130.67976,18.931213,32.429108,87.82785,299.3418,301.1413
56,186.05740830334736,172.47356854377824,33.73639,0.43399048,152.32101,111.67383,60.36575,290.7241,292.87167
57,583.2480700060505,-8.232279445765599,0.0,0.0,583.24805,-5.35098,-2.8812969,314.96545,327.033
58,395.1060174527796,-44.261526989141636,0.0,0.0,395.10602,-28.769993,-15.491534,311.7422,317.68564
59,357.18452277304993,81.19925334246099,0.0,0.0,357.1845,52.77951,28.419739,305.52795,315.6876
60,448.47520434648385,108.0913371120945,0.0,0.0,448.47522,70.25937,37.831966,303.4081,314.21268
61,386.25950977289256,-17.899568266789032,0.0,0.0,386.25952,-11.634718,-6.264848,306.46085,311.2472
62,123.54073110155043,-69.18909058899274,0.0,0.0,123.54073,-44.972908,-24.216179,294.91837,307.8056
63,inf,-inf,,0.0,inf,,,,1e-06
64,53518038.696099326,-55107817.96653077,,0.0,16287323.0,,,17539.78,1e-06
65,93.07514083281228,-64.13582013866643,0.0,0.0,93.07515,-41.688282,-22.447536,302.19675,311.9997
66,110.8360249096689,45.56761519240649,95.17205,22.72732,15.663973,6.8916306,15.948666,309.93524,310.37128
67,138.81157497818216,181.80656947784428,48.02392,7.6903915,90.78767,110.48388,63.632298,313.44916,319.20065
68,271.82268655706093,407.96538394376824,125.04471,218.36345,146.77798,46.81404,142.78789,288.11755,290.97427
69,290.56821140825764,-71.44286380055465,0.0,0.0,290.56824,-46.437862,-25.005001,318.1014,331.22955
70,28374646.109536715,-28798776.088680733,,0.0,16395173.0,,,31389.04,1e-06
71,175.36208906120197,423.1390788949755,194.68094,232.93791,-19.318848,42.102493,148.09868,309.108,310.47766
72,608.1724863204932,166.03864341271665,232.94763,11.086784,375.22485,96.83834,58.113525,291.3157,295.596
73,566.5618128046287,75.70621924672105,0.0,0.0,566.56177,49.209045,26.497177,300.72476,311.11774
74,inf,-inf,,0.0,inf,,,,1e-06
75,inf,-inf,,0.0,-inf,,,,1e-06
76,376.91756455189375,258.4340626089368,210.01097,85.60258,166.90657,82.379555,90.45192,298.83368,302.15082
77,242.83133962311277,-179.65762681555591,0.0,0.0,242.83133,-116.77745,-62.88017,287.62482,316.59497
78,289.87934035758934,-100.24728392590777,0.0,0.0,289.87933,-65.160736,-35.086548,297.5769,319.45105
79,inf,-inf,,0.0,inf,,,,1e-06
80,177.47475123138656,235.40905944548825,0.0,0.0,177.47476,153.0159,82.393166,294.5583,314.4222
81,inf,-inf,,0.0,inf,,,,1e-06
82,5248718.330740546,-5429936.980970008,211446.86,0.0,1327559.9,221654.02,-96362.99,1112.44,1e-06
83,inf,-inf,,0.0,inf,,,,1e-06
84,9796.744547459022,-10203.381656855168,-251.90118,0.0,6973.5986,12798.474,204.67749,326.36838,1e-06
85,157.49163899400617,340.8890880600343,22.685547,228.42502,134.80609,-6.8471074,119.31118,312.98746,311.26712
86,inf,-inf,,0.0,inf,,,,1e-06
87,232.89455347811986,480.7763145873786,19.386017,309.84985,213.50853,2.6547558,168.2717,313.45734,311.67297
88,2.4325174816276376,92.97785659459583,0.0,0.0,2.4325175,60.435608,32.54225,296.1317,307.4505
89,147.2762180136001,546.4761242269885,0.0,0.0,147.27621,355.20947,191.26666,287.5426,305.584
90,576.0154707654142,-37.911997487421154,0.0,0.0,576.0155,-24.642796,-13.269198,293.8758,301.48096
91,408.21710476679743,-390.90339830445237,0.0,0.0,408.2171,-254.08722,-136.8162,292.92996,346.5915
92,355.87178785420724,14.37976171325171,0.0,0.0,355.8718,9.346845,5.032916,300.02722,313.03378
93,416.27063850286504,-342.1359256542703,0.0,0.0,416.27063,-222.38835,-119.747574,314.83173,356.47293
94,166.59481764742918,2.8035482929061004,0.0,0.0,166.59482,1.8223081,0.9812427,288.7913,303.5563
95,53.85527051322847,-95.2574339699656,0.0,0.0,53.85527,-61.91733,-33.3401,314.86703,328.43
96,132.2273163629788,238.763187466253,0.0,0.0,132.22733,155.19608,83.567116,309.69757,316.61368
97,868.2183943769555,-175.97152147852967,0.0,0.0,868.21844,-114.38149,-61.590034,309.3898,338.89893
98,211.34192459454545,291.67349379089916,0.0,0.0,211.34192,189.58777,102.085724,306.78336,316.35284
99,141.15854494493271,-7.511462806668163,0.0,0.0,141.15855,-4.882451,-2.629012,303.18875,307.48273
100,136.09568152705458,111.502839292358,5.0251923,66.65851,131.0705,5.818346,39.025997,316.31537,313.13834
101,229.9516488917775,162.1586294499239,18.428452,88.12236,211.52321,17.28075,56.75552,311.27667,310.5275
102,111.18285485834929,-87.47951902518193,0.0,0.0,111.18286,-56.86169,-30.617832,306.2282,319.19846
103,115.27338275322674,-31.33786875812075,0.0,0.0,115.273384,-20.369614,-10.968253,295.8879,312.78006
104,156299950.0445267,-256019432.65621367,,0.0,25257260.0,,,194664.56,1e-06
105,402347290.2152265,-407647926.7460351,,0.0,-98370860.0,,,-74960.87,1e-06
106,439.1603344138314,21.227797698991075,174.28848,5.942001,264.87186,7.856068,7.4297295,306.80707,305.2117
107,842.012909791346,-258.1399588620177,0.0,0.0,842.01294,-167.79097,-90.34898,311.7381,351.4531
108,57.149073462630696,559.8744313223837,7.8109894,367.2269,49.33808,-3.3085494,195.95604,308.71875,306.79965
109,inf,-inf,,0.0,inf,,,,1e-06
110,187.5144854925431,-1.335140402113768,49.61223,7.3108325,137.90224,-8.178674,-0.46729907,293.85794,291.90198
111,607.7230936580104,-53.89603847185202,0.0,0.0,607.7231,-35.032425,-18.863615,317.20096,343.39215
112,inf,-inf,,0.0,inf,,,,1e-06
113,inf,-inf,,0.0,inf,,,,1e-06
114,inf,-inf,,0.0,inf,,,,1e-06
115,5099683.828438151,-5166436.961224953,,0.0,1012641.56,,,883.4729,1e-06
116,155.55110451605086,127.1022257631385,0.0,0.0,155.5511,82.616455,44.485783,306.38968,308.8375
117,151882006.6497464,-170165995.2142192,,0.0,75989620.0,,,568010.1,1e-06
118,201.72108123555904,443.9662425988745,0.0,0.0,201.72108,288.57806,155.38817,301.78503,324.3975
119,268.6796237832781,112.94235974343644,112.15671,6.28862,156.52292,67.12392,39.529827,302.7386,307.65982
120,364.59874095341814,263.4209505679714,0.0,0.0,364.59875,171.22363,92.197334,294.56976,316.4093
121,221.88725559040967,-12.43335698657182,0.0,0.0,221.88725,-8.081682,-4.351675,305.40018,308.51007
122,433.56902618183915,211.9681318552093,268.82202,91.45267,164.74702,46.32661,74.18884,305.93787,305.99118
123,9102280.382907948,-30403784.55517115,,0.0,-280904.56,,,-1440.2645,1e-06
124,119.15170476216741,415.4616188567232,52.571045,238.45723,66.58067,31.59282,145.41158,309.75607,312.18805
125,inf,-inf,,0.0,-inf,,,,1e-06
126,48.17880094929782,177.48751885894038,6.60511,4.0531693,41.573692,111.31371,62.120632,288.7567,290.53375
127,505.9390826985038,77.26146301499574,0.0,0.0,505.9391,50.219955,27.041513,301.2415,316.8278
128,653.7925831450135,36.814107143729046,0.0,0.0,653.7926,23.929167,12.884935,294.47894,312.47855
129,143.74244398316003,218.00854244616318,0.0,0.0,143.74245,141.70554,76.30299,316.36438,327.14905
130,429032713.10060424,-439682442.5379515,,0.0,-114121540.0,,,-393651.44,1e-06
131,inf,-inf,,0.0,inf,,,,1e-06
132,17593.630159742836,-17524.80525483519,,0.0,16551.025,,,422.74234,1e-06
133,inf,-inf,,0.0,inf,,,,1e-06
134,290.18539473097746,-57.8305649097899,0.0,0.0,290.1854,-37.589867,-20.240698,294.35953,317.15274
